treatment_a,treatment_b,cooccur_count,confidence_a_to_b,confidence_b_to_a,lift,pmi,jaccard,smoothed_confidence,confidence_gain,final_weight,pair_rule_level
23,29,1281,0.6898222940226171,0.8159235668789809,33.09169813650536,3.4992824393385904,0.5969245107176142,0.6862391311250825,4.632132599902084,4.178230224999562,strict_positive
23,76,207,0.1114701130856219,0.8313253012048193,33.71635167487397,3.517982932584871,0.1090047393364928,0.110890766546973,3.626995640459622,3.336171288398072,strict_positive
23,92,131,0.0705438879913839,1.0,40.55735056542811,3.7027170357842096,0.0705438879913839,0.07017535812184789,3.7684976123966916,3.299870039349889,strict_positive
23,94,119,0.0640818524501884,1.0,40.55735056542811,3.7027170357842096,0.0640818524501884,0.06374708104198396,3.761767566797117,3.261734461600625,strict_positive
23,142,26,0.0140010770059235,1.0,40.55735056542811,3.7027170357842096,0.0140010770059235,0.013927933673038512,3.711159781568785,2.463070861538723,positive
23,82,35,0.0188476036618201,0.196629213483146,7.974759942640358,2.076281546981538,0.0175,0.018759311232050525,2.0881572908630837,1.6762090922025572,positive
25,69,292,0.1648785996612083,1.0,42.52682100508188,3.750134959354082,0.1648785996612083,0.16397460443416334,3.919848784632153,3.626850274377249,strict_positive
26,83,175,0.1002290950744559,1.0,43.13573883161512,3.764351860737368,0.1002290950744559,0.09967154655080401,3.8614429457528505,3.4555751033915683,strict_positive
26,72,186,0.1065292096219931,0.6739130434782609,29.069737038697145,3.3696976687334192,0.1013071895424836,0.10594342032257231,3.472498511311554,3.195761367795683,strict_positive
26,95,105,0.0601374570446735,0.9130434782608696,39.384805020170326,3.6733800825316414,0.0597949886104783,0.05980368405619708,3.7279529467172683,3.191635265820627,strict_positive
26,131,42,0.0240549828178694,1.0,43.13573883161512,3.764351860737368,0.0240549828178694,0.023921171172192963,3.78242770500633,2.795983105004606,positive
26,137,33,0.0189003436426116,1.0,43.13573883161512,3.764351860737368,0.0189003436426116,0.018795205921008758,3.7773094147294572,2.650737154309897,positive
26,35,47,0.0269186712485681,0.0354716981132075,1.5300979057252155,0.425331724027104,0.015542328042328,0.026865562511408047,0.4328405112419893,0.7573448099928354,positive
27,28,418,0.2450175849941383,0.2633900441083805,11.627913934362653,2.4534085810836386,0.1453913043478261,0.24371253787704694,2.7061050665849296,2.7952637846539585,strict_positive
27,76,42,0.0246189917936694,0.1686746987951807,7.446503481687595,2.007744590903952,0.021955044432828,0.02449479087598984,2.0241750867168644,1.7109304289663412,positive
29,75,159,0.1012738853503184,0.6385542168674698,30.632299900237893,3.422055004550085,0.0957831325301204,0.10065383616658138,3.5186893596885906,3.181858314982551,strict_positive
29,73,118,0.0751592356687898,0.4306569343065693,20.659189176623737,3.0281602168721564,0.0683661645422943,0.07470656995891517,3.0961189340834654,2.7944554069245293,strict_positive
3,25,1259,0.1878824056111028,0.7108977978543196,7.99004143342756,2.0781959454252585,0.1745459586857063,0.1876374825989128,2.2609046344753896,2.698664553524919,strict_positive
3,68,270,0.040292493657663,0.9121621621621622,10.252125539955715,2.327485053838059,0.0401367623011743,0.04023831047533108,2.363271764588019,2.51285378593075,strict_positive
3,6,1512,0.225637964482913,0.2608695652173913,2.932008850074291,1.0756878024626502,0.1376422394173873,0.22541641600583762,1.2500559275736887,1.9755320181731222,strict_positive
30,35,1245,0.8079169370538611,0.939622641509434,45.92321819940494,3.826970832295285,0.7680444170265268,0.8028213589748759,5.426539586595705,4.619061045281135,strict_positive
30,117,23,0.0149253731343283,0.365079365079365,17.842928216062543,2.8816072513544166,0.0145477545857052,0.01483453569797309,2.889611378321531,1.9326632145387714,positive
31,48,143,0.0993745656706045,0.2196620583717358,11.4967671482052,2.4420658783008857,0.0734463276836158,0.09874840370237961,2.5310344638467877,2.4539617835636824,strict_positive
32,38,1092,0.7816750178954903,0.981132075471698,52.89474750476088,3.96830404290926,0.770098730606488,0.7762244344895717,5.44353011987253,4.65043736382037,strict_positive
32,141,27,0.01932712956335,1.0,53.91195418754474,3.9873522378799535,0.01932712956335,0.01919231339249353,3.999372625037289,2.6505697135975677,positive
32,49,143,0.1023622047244094,0.2277070063694267,12.276129695571491,2.5076567016716624,0.0759829968119022,0.10169394678337715,2.5999781142819955,2.501531942548395,strict_positive
33,43,790,0.5732946298984035,0.98014888337469,53.57032884714424,3.980995348517751,0.5667144906743186,0.5692413668547911,4.805348081606912,4.318826748516622,strict_positive
33,55,475,0.3447024673439768,0.9082217973231358,49.6391325583396,3.9047794855330302,0.3330995792426367,0.3422690502004932,4.309685909753579,3.9660352113915094,strict_positive
33,41,27,0.0195936139332365,0.0302351623740201,1.6525117955002382,0.5022964306911417,0.0120320855614973,0.01953787368747705,0.5072510994239785,0.6667857993571049,positive
34,100,103,0.0766939687267312,1.0,56.07967237527922,4.026773400613678,0.0766939687267312,0.0761372327380459,4.097310949016116,3.4340056425975782,strict_positive
